,"Poster_Link","Series_Title","Runtime_of_Series","Certificate","Runtime_of_Episodes","Genre","IMDB_Rating","Overview","Star1","Star2","Star3","Star4","No_of_Votes","Genre1","Genre2","Genre3"	
12,"https://m.media-amazon.com/images/M/MV5BMTRmYzNmOTctZjMwOS00ODZlLWJiZGQtNDg5NDY5NjE3MTczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Westworld","(2016â€“ )","A","62 min","Drama, Mystery, Sci-Fi",8.6,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood","Jeffrey Wright","Ed Harris","Thandie Newton",428960,"Drama"," Mystery"," Sci-Fi"	
13,"https://m.media-amazon.com/images/M/MV5BMTI0NTMwMDgtYTMzZC00YmJhLTg4NzMtMTc1NjI4MWY4NmQ4XkEyXkFqcGdeQXVyNTY3MTYzOTA@._V1_UY98_CR5,0,67,98_AL_.jpg","Arrow","(2012â€“2020)","A","42 min","Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","Stephen Amell","Katie Cassidy","David Ramsey","Susanna Thompson",407897,"Action"," Adventure"," Crime"	
14,"https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Supernatural","(2005â€“2020)","16+","44 min","Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Jared Padalecki","Jensen Ackles","Jim Beaver","Misha Collins",393142,"Drama"," Fantasy"," Horror"	
15,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg","Rick and Morty","(2013â€“ )","16+","23 min","Animation, Adventure, Comedy",9.2,"An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","Justin Roiland","Chris Parnell","Spencer Grammer","Sarah Chalke",376795,"Animation"," Adventure"," Comedy"	
16,"https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Daredevil","(2015â€“2018)","18+","54 min","Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox","Vincent D'Onofrio","Deborah Ann Woll","Elden Henson",363031,"Action"," Crime"," Drama"	
17,"https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg","Narcos","(2015â€“2017)","A","49 min","Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal","Wagner Moura","Boyd Holbrook","Alberto Ammann",358462,"Biography"," Crime"," Drama"	
18,"https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX67_CR0,0,67,98_AL_.jpg","Modern Family","(2009â€“2020)","12+","22 min","Comedy, Drama, Romance",8.4,"Three different but related families face trials and tribulations in their own uniquely comedic ways.","Ed O'Neill","SofÃ­a Vergara","Julie Bowen","Ty Burrell",356381,"Comedy"," Drama"," Romance"	
19,"https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg","Mr. Robot","(2015â€“2019)","16+","49 min","Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Rami Malek","Christian Slater","Carly Chaikin","Martin WallstrÃ¶m",334009,"Crime"," Drama"," Thriller"	
20,"https://m.media-amazon.com/images/M/MV5BN2NiMGE5M2UtNWNlNC00N2Y4LTkwOWUtMDlkMzEwNTcyOTcyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR0,0,67,98_AL_.jpg","Fargo","(2014â€“ )","16+","53 min","Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton","Martin Freeman","Allison Tolman","Colin Hanks",328350,"Crime"," Drama"," Thriller"	
21,"https://m.media-amazon.com/images/M/MV5BMjA4MWM1OWQtMDdlMS00MmE4LWI2YTItODhhMGI5NTg0ODFhXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_UY98_CR3,0,67,98_AL_.jpg","Homeland","(2011â€“2020)","UA","55 min","Crime, Drama, Mystery",8.3,"A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.","Claire Danes","Mandy Patinkin","Damian Lewis","Rupert Friend",313410,"Crime"," Drama"," Mystery"	
